Grade,Word,Difficult,Length
1,a,FALSE,1
1,all,FALSE,3
1,am,TRUE,2
1,and,TRUE,3
1,at,FALSE,2
1,ball,FALSE,4
1,be,FALSE,2
1,bed,FALSE,3
1,big,FALSE,3
1,book,FALSE,4
1,box,FALSE,3
1,boy,TRUE,3
1,but,FALSE,3
1,came,TRUE,4
1,can,TRUE,3
1,car,FALSE,3
1,cat,FALSE,3
1,come,TRUE,4
1,cow,FALSE,3
1,dad,FALSE,3
1,day,TRUE,3
1,did,FALSE,3
1,do,FALSE,2
1,dog,TRUE,3
1,fat,FALSE,3
1,for,FALSE,3
1,fun,TRUE,3
1,get,TRUE,3
1,go,FALSE,2
1,good,TRUE,4
1,got,TRUE,3
1,had,TRUE,3
1,hat,FALSE,3
1,he,TRUE,2
1,hen,FALSE,3
1,here,FALSE,4
1,him,TRUE,3
1,his,TRUE,3
1,home,TRUE,4
1,hot,FALSE,3
1,I,TRUE,1
1,if,FALSE,2
1,in,TRUE,2
1,into,TRUE,4
1,is,FALSE,2
1,it,TRUE,2
1,its,TRUE,3
1,let,FALSE,3
1,like,TRUE,4
1,look,FALSE,4
1,man,FALSE,3
1,may,FALSE,3
1,me,TRUE,2
1,mom,FALSE,3
1,my,TRUE,2
1,no,TRUE,2
1,not,FALSE,3
1,of,FALSE,2
1,oh,FALSE,2
1,old,FALSE,3
1,on,TRUE,2
1,one,TRUE,3
1,out,TRUE,3
1,pan,FALSE,3
1,pet,FALSE,3
1,pig,FALSE,3
1,play,TRUE,4
1,ran,FALSE,3
1,rat,FALSE,3
1,red,FALSE,3
1,ride,FALSE,4
1,run,FALSE,3
1,sat,FALSE,3
1,see,FALSE,3
1,she,FALSE,3
1,sit,FALSE,3
1,six,FALSE,3
1,so,FALSE,2
1,stop,FALSE,4
1,sun,FALSE,3
1,ten,FALSE,3
1,the,TRUE,3
1,this,FALSE,4
1,to,TRUE,2
1,top,FALSE,3
1,toy,FALSE,3
1,two,TRUE,3
1,up,FALSE,2
1,us,FALSE,2
1,was,TRUE,3
1,we,TRUE,2
1,will,TRUE,4
1,yes,FALSE,3
1,you,TRUE,3
2,about,TRUE,5
2,add,FALSE,3
2,after,FALSE,5
2,ago,FALSE,3
2,an,TRUE,2
2,any,FALSE,3
2,apple,FALSE,5
2,are,TRUE,3
2,as,FALSE,2
2,ask,FALSE,3
2,ate,FALSE,3
2,away,FALSE,4
2,baby,TRUE,4
2,back,FALSE,4
2,bad,FALSE,3
2,bag,FALSE,3
2,base,FALSE,4
2,bat,FALSE,3
2,bee,FALSE,3
2,been,TRUE,4
2,before,TRUE,6
2,being,FALSE,5
2,best,FALSE,4
2,bike,FALSE,4
2,bill,FALSE,4
2,bird,FALSE,4
2,black,FALSE,5
2,blue,FALSE,4
2,boat,FALSE,4
2,both,FALSE,4
2,bring,FALSE,5
2,brother,TRUE,7
2,brown,FALSE,5
2,bus,FALSE,3
2,buy,TRUE,3
2,by,FALSE,2
2,cake,FALSE,4
2,call,FALSE,4
2,candy,FALSE,5
2,change,FALSE,6
2,child,FALSE,5
2,city,FALSE,4
2,clean,FALSE,5
2,club,FALSE,4
2,coat,FALSE,4
2,cold,FALSE,4
2,coming,TRUE,6
2,corn,FALSE,4
2,could,FALSE,5
2,cry,FALSE,3
2,cup,FALSE,3
2,cut,FALSE,3
2,daddy,TRUE,5
2,dear,FALSE,4
2,deep,FALSE,4
2,deer,FALSE,4
2,doing,FALSE,5
2,doll,FALSE,4
2,door,FALSE,4
2,down,TRUE,4
2,dress,FALSE,5
2,drive,FALSE,5
2,drop,FALSE,4
2,dry,FALSE,3
2,duck,FALSE,4
2,each,FALSE,4
2,eat,FALSE,3
2,eating,FALSE,6
2,egg,FALSE,3
2,end,FALSE,3
2,fall,FALSE,4
2,far,FALSE,3
2,farm,FALSE,4
2,fast,FALSE,4
2,father,TRUE,6
2,feed,FALSE,4
2,feel,FALSE,4
2,feet,FALSE,4
2,fell,TRUE,4
2,find,FALSE,4
2,fine,TRUE,4
2,fire,FALSE,4
2,first,TRUE,5
2,fish,FALSE,4
2,five,FALSE,4
2,fix,FALSE,3
2,flag,FALSE,4
2,floor,FALSE,5
2,fly,FALSE,3
2,food,FALSE,4
2,foot,FALSE,4
2,four,FALSE,4
2,fox,FALSE,3
2,from,TRUE,4
2,full,FALSE,4
2,funny,FALSE,5
2,game,FALSE,4
2,gas,FALSE,3
2,gave,FALSE,4
2,girl,FALSE,4
2,give,FALSE,4
2,glad,FALSE,4
2,goat,FALSE,4
2,goes,TRUE,4
2,going,TRUE,5
2,gold,FALSE,4
2,gone,FALSE,4
2,grade,TRUE,5
2,grass,FALSE,5
2,green,FALSE,5
2,grow,FALSE,4
2,hand,FALSE,4
2,happy,FALSE,5
2,hard,FALSE,4
2,has,TRUE,3
2,have,TRUE,4
2,hear,TRUE,4
2,help,FALSE,4
2,here,TRUE,4
2,hill,FALSE,4
2,hit,FALSE,3
2,hold,FALSE,4
2,hole,FALSE,4
2,hop,FALSE,3
2,hope,TRUE,4
2,horse,FALSE,5
2,house,TRUE,5
2,how,TRUE,3
2,ice,FALSE,3
2,inch,FALSE,4
2,inside,TRUE,6
2,job,FALSE,3
2,jump,FALSE,4
2,just,TRUE,4
2,keep,FALSE,4
2,king,FALSE,4
2,know,TRUE,4
2,lake,FALSE,4
2,land,FALSE,4
2,last,FALSE,4
2,late,FALSE,4
2,lay,FALSE,3
2,left,FALSE,4
2,leg,FALSE,3
2,light,FALSE,5
2,line,FALSE,4
2,little,TRUE,6
2,live,FALSE,4
2,lives,FALSE,5
2,long,FALSE,4
2,looking,FALSE,7
2,lost,FALSE,4
2,lot,FALSE,3
2,love,FALSE,4
2,mad,FALSE,3
2,made,TRUE,4
2,make,TRUE,4
2,many,TRUE,4
2,meat,FALSE,4
2,men,FALSE,3
2,met,FALSE,3
2,mile,FALSE,4
2,milk,FALSE,4
2,mine,FALSE,4
2,miss,FALSE,4
2,moon,FALSE,4
2,more,FALSE,4
2,most,FALSE,4
2,mother,TRUE,6
2,move,FALSE,4
2,much,TRUE,4
2,must,FALSE,4
2,myself,TRUE,6
2,nail,FALSE,4
2,name,TRUE,4
2,need,FALSE,4
2,new,TRUE,3
2,next,FALSE,4
2,nice,TRUE,4
2,night,FALSE,5
2,nine,FALSE,4
2,north,FALSE,5
2,now,TRUE,3
2,nut,FALSE,3
2,off,TRUE,3
2,only,FALSE,4
2,open,FALSE,4
2,or,TRUE,2
2,other,FALSE,5
2,our,FALSE,3
2,outside,TRUE,7
2,over,FALSE,4
2,page,FALSE,4
2,park,FALSE,4
2,part,FALSE,4
2,pay,FALSE,3
2,pick,FALSE,4
2,plant,FALSE,5
2,playing,FALSE,7
2,pony,FALSE,4
2,post,FALSE,4
2,pull,FALSE,4
2,put,FALSE,3
2,rabbit,FALSE,6
2,rain,FALSE,4
2,read,FALSE,4
2,rest,FALSE,4
2,riding,FALSE,6
2,road,FALSE,4
2,rock,FALSE,4
2,room,FALSE,4
2,said,TRUE,4
2,same,FALSE,4
2,sang,FALSE,4
2,saw,TRUE,3
2,say,FALSE,3
2,school,TRUE,6
2,sea,FALSE,3
2,seat,FALSE,4
2,seem,FALSE,4
2,seen,FALSE,4
2,send,TRUE,4
2,set,FALSE,3
2,seven,FALSE,5
2,sheep,FALSE,5
2,ship,FALSE,4
2,shoe,FALSE,4
2,show,TRUE,4
2,sick,FALSE,4
2,side,FALSE,4
2,sing,FALSE,4
2,sky,FALSE,3
2,sleep,FALSE,5
2,small,FALSE,5
2,snow,FALSE,4
2,some,TRUE,4
2,soon,TRUE,4
2,spell,FALSE,5
2,start,FALSE,5
2,stay,FALSE,4
2,still,FALSE,5
2,store,TRUE,5
2,story,FALSE,5
2,take,FALSE,4
2,talk,FALSE,4
2,tall,FALSE,4
2,teach,FALSE,5
2,tell,FALSE,4
2,than,TRUE,4
2,thank,FALSE,5
2,that,FALSE,4
2,them,TRUE,4
2,then,TRUE,4
2,there,TRUE,5
2,they,TRUE,4
2,thing,FALSE,5
2,think,TRUE,5
2,three,FALSE,5
2,time,TRUE,4
2,today,TRUE,5
2,told,FALSE,4
2,too,TRUE,3
2,took,FALSE,4
2,train,TRUE,5
2,tree,FALSE,4
2,truck,FALSE,5
2,try,FALSE,3
2,use,FALSE,3
2,very,TRUE,4
2,walk,FALSE,4
2,want,TRUE,4
2,warm,FALSE,4
2,wash,FALSE,4
2,way,FALSE,3
2,week,FALSE,4
2,well,TRUE,4
2,went,TRUE,4
2,were,TRUE,4
2,wet,FALSE,3
2,what,FALSE,4
2,when,TRUE,4
2,while,TRUE,5
2,white,FALSE,5
2,who,FALSE,3
2,why,FALSE,3
2,wind,FALSE,4
2,wish,FALSE,4
2,with,TRUE,4
2,woke,FALSE,4
2,wood,FALSE,4
2,work,FALSE,4
2,yellow,FALSE,6
2,yet,FALSE,3
2,your,FALSE,4
2,zoo,FALSE,3
3,able,FALSE,4
3,above,FALSE,5
3,afraid,FALSE,6
3,afternoon,TRUE,9
3,again,TRUE,5
3,age,FALSE,3
3,air,FALSE,3
3,airplane,FALSE,8
3,almost,FALSE,6
3,alone,FALSE,5
3,along,TRUE,5
3,already,TRUE,7
3,also,FALSE,4
3,always,TRUE,6
3,animal,FALSE,6
3,another,TRUE,7
3,anything,TRUE,8
3,around,TRUE,6
3,art,FALSE,3
3,aunt,TRUE,4
3,balloon,TRUE,7
3,bark,FALSE,4
3,barn,FALSE,4
3,basket,FALSE,6
3,beach,FALSE,5
3,bear,FALSE,4
3,because,TRUE,7
3,become,FALSE,6
3,began,FALSE,5
3,begin,FALSE,5
3,behind,FALSE,6
3,believe,TRUE,7
3,below,FALSE,5
3,belt,FALSE,4
3,better,FALSE,6
3,birthday,TRUE,8
3,body,FALSE,4
3,bones,FALSE,5
3,born,FALSE,4
3,bought,TRUE,6
3,bread,FALSE,5
3,bright,FALSE,6
3,broke,FALSE,5
3,brought,TRUE,7
3,busy,FALSE,4
3,cabin,FALSE,5
3,cage,FALSE,4
3,camp,FALSE,4
3,can't,TRUE,5
3,care,FALSE,4
3,carry,FALSE,5
3,catch,FALSE,5
3,cattle,FALSE,6
3,cave,FALSE,4
3,children,TRUE,8
3,class,FALSE,5
3,close,TRUE,5
3,cloth,FALSE,5
3,coal,FALSE,4
3,color,FALSE,5
3,corner,FALSE,6
3,cotton,FALSE,6
3,cover,FALSE,5
3,dark,FALSE,4
3,desert,FALSE,6
3,didn't,TRUE,6
3,dinner,FALSE,6
3,dishes,FALSE,6
3,does,FALSE,4
3,done,FALSE,4
3,don't,TRUE,5
3,dragon,FALSE,6
3,draw,FALSE,4
3,dream,FALSE,5
3,drink,FALSE,5
3,early,FALSE,5
3,earth,FALSE,5
3,east,FALSE,4
3,eight,FALSE,5
3,even,FALSE,4
3,ever,FALSE,4
3,every,TRUE,5
3,everyone,TRUE,8
3,everything,TRUE,10
3,eyes,FALSE,4
3,face,FALSE,4
3,family,TRUE,6
3,feeling,FALSE,7
3,felt,FALSE,4
3,few,FALSE,3
3,fight,FALSE,5
3,fishing,FALSE,7
3,flower,FALSE,6
3,flying,FALSE,6
3,follow,FALSE,6
3,forest,FALSE,6
3,forgot,FALSE,6
3,form,FALSE,4
3,found,TRUE,5
3,fourth,FALSE,6
3,free,FALSE,4
3,Friday,FALSE,6
3,friend,TRUE,6
3,front,FALSE,5
3,getting,TRUE,7
3,given,FALSE,5
3,grandmother,FALSE,11
3,great,FALSE,5
3,grew,FALSE,4
3,ground,FALSE,6
3,guess,TRUE,5
3,hair,FALSE,4
3,half,FALSE,4
3,having,TRUE,6
3,head,FALSE,4
3,heard,TRUE,5
3,he's,TRUE,4
3,heat,FALSE,4
3,hello,TRUE,5
3,high,FALSE,4
3,himself,FALSE,7
3,hour,FALSE,4
3,hundred,FALSE,7
3,hurry,FALSE,5
3,hurt,TRUE,4
3,I'd,TRUE,3
3,I'll,TRUE,4
3,I'm,TRUE,3
3,inches,FALSE,6
3,isn't,FALSE,5
3,it's,TRUE,4
3,I've,TRUE,4
3,kept,FALSE,4
3,kids,FALSE,4
3,kind,FALSE,4
3,kitten,FALSE,6
3,knew,TRUE,4
3,knife,FALSE,5
3,lady,FALSE,4
3,large,FALSE,5
3,largest,FALSE,7
3,later,FALSE,5
3,learn,FALSE,5
3,leave,FALSE,5
3,let's,TRUE,5
3,letter,TRUE,6
3,life,FALSE,4
3,list,FALSE,4
3,living,FALSE,6
3,lovely,FALSE,6
3,loving,TRUE,6
3,lunch,FALSE,5
3,mail,FALSE,4
3,making,FALSE,6
3,maybe,TRUE,5
3,mean,FALSE,4
3,merry,FALSE,5
3,might,TRUE,5
3,mind,FALSE,4
3,money,TRUE,5
3,month,FALSE,5
3,morning,TRUE,7
3,mouse,FALSE,5
3,mouth,FALSE,5
3,Mr.,TRUE,3
3,Mrs.,TRUE,4
3,Ms.,FALSE,3
3,music,FALSE,5
3,near,FALSE,4
3,nearly,FALSE,6
3,never,FALSE,5
3,news,FALSE,4
3,noise,FALSE,5
3,nothing,FALSE,7
3,number,FALSE,6
3,o'clock,TRUE,7
3,often,FALSE,5
3,oil,FALSE,3
3,once,TRUE,4
3,orange,FALSE,6
3,order,FALSE,5
3,own,FALSE,3
3,pair,FALSE,4
3,paint,FALSE,5
3,paper,FALSE,5
3,party,TRUE,5
3,pass,FALSE,4
3,past,FALSE,4
3,penny,FALSE,5
3,people,TRUE,6
3,person,FALSE,6
3,picture,FALSE,7
3,place,FALSE,5
3,plan,FALSE,4
3,plane,FALSE,5
3,please,TRUE,6
3,pocket,FALSE,6
3,point,FALSE,5
3,poor,FALSE,4
3,race,FALSE,4
3,reach,FALSE,5
3,reading,FALSE,7
3,ready,FALSE,5
3,real,FALSE,4
3,rich,FALSE,4
3,right,TRUE,5
3,river,FALSE,5
3,rocket,FALSE,6
3,rode,FALSE,4
3,round,FALSE,5
3,rule,FALSE,4
3,running,TRUE,7
3,salt,FALSE,4
3,says,FALSE,4
3,sending,FALSE,7
3,sent,TRUE,4
3,seventh,FALSE,7
3,sew,FALSE,3
3,shall,FALSE,5
3,short,FALSE,5
3,shot,FALSE,4
3,should,FALSE,6
3,sight,FALSE,5
3,sister,FALSE,6
3,sitting,FALSE,7
3,sixth,FALSE,5
3,sled,FALSE,4
3,smoke,FALSE,5
3,soap,FALSE,4
3,someone,TRUE,7
3,something,TRUE,9
3,sometime,TRUE,8
3,song,FALSE,4
3,sorry,FALSE,5
3,sound,FALSE,5
3,south,FALSE,5
3,space,FALSE,5
3,spelling,FALSE,8
3,spent,FALSE,5
3,sport,FALSE,5
3,spring,FALSE,6
3,stairs,FALSE,6
3,stand,FALSE,5
3,state,FALSE,5
3,step,FALSE,4
3,stick,FALSE,5
3,stood,FALSE,5
3,stopped,TRUE,7
3,stove,FALSE,5
3,street,FALSE,6
3,strong,FALSE,6
3,study,FALSE,5
3,such,FALSE,4
3,sugar,FALSE,5
3,summer,TRUE,6
3,Sunday,TRUE,6
3,supper,FALSE,6
3,table,FALSE,5
3,taken,FALSE,5
3,taking,FALSE,6
3,talking,FALSE,7
3,teacher,TRUE,7
3,team,FALSE,4
3,teeth,FALSE,5
3,tenth,FALSE,5
3,that's,TRUE,6
3,their,FALSE,5
3,these,TRUE,5
3,thinking,FALSE,8
3,third,FALSE,5
3,those,FALSE,5
3,thought,TRUE,7
3,throw,FALSE,5
3,tonight,TRUE,7
3,trade,FALSE,5
3,trick,FALSE,5
3,trip,FALSE,4
3,trying,FALSE,6
3,turn,FALSE,4
3,twelve,FALSE,6
3,twenty,FALSE,6
3,uncle,FALSE,5
3,under,FALSE,5
3,upon,TRUE,4
3,wagon,FALSE,5
3,wait,FALSE,4
3,walking,FALSE,7
3,wasn't,FALSE,6
3,watch,FALSE,5
3,water,FALSE,5
3,weather,TRUE,7
3,we're,TRUE,5
3,west,FALSE,4
3,wheat,FALSE,5
3,where,TRUE,5
3,which,FALSE,5
3,wife,FALSE,4
3,wild,FALSE,4
3,win,FALSE,3
3,window,FALSE,6
3,winter,FALSE,6
3,without,FALSE,7
3,woman,TRUE,5
3,won,FALSE,3
3,won't,TRUE,5
3,wool,FALSE,4
3,word,FALSE,4
3,working,FALSE,7
3,world,TRUE,5
3,would,TRUE,5
3,write,TRUE,5
3,wrong,FALSE,5
3,yard,FALSE,4
3,year,FALSE,4
3,yesterday,FALSE,9
3,you're,TRUE,6
4,across,FALSE,6
4,against,FALSE,7
4,answer,TRUE,6
4,awhile,TRUE,6
4,between,FALSE,7
4,board,FALSE,5
4,bottom,FALSE,6
4,breakfast,FALSE,9
4,broken,FALSE,6
4,build,FALSE,5
4,building,FALSE,8
4,built,FALSE,5
4,captain,TRUE,7
4,carried,FALSE,7
4,caught,TRUE,6
4,charge,TRUE,6
4,chicken,FALSE,7
4,circus,FALSE,6
4,cities,FALSE,6
4,clothes,TRUE,7
4,company,FALSE,7
4,couldn't,TRUE,8
4,country,FALSE,7
4,discover,FALSE,8
4,doctor,TRUE,6
4,doesn't,FALSE,7
4,dollar,FALSE,6
4,during,FALSE,6
4,eighth,TRUE,6
4,else,FALSE,4
4,enjoy,FALSE,5
4,enough,FALSE,6
4,everybody,TRUE,9
4,example,FALSE,7
4,except,FALSE,6
4,excuse,FALSE,6
4,field,TRUE,5
4,fifth,FALSE,5
4,finish,FALSE,6
4,following,FALSE,9
4,good-by,TRUE,7
4,group,FALSE,5
4,happened,TRUE,8
4,harden,FALSE,6
4,haven't,TRUE,7
4,heavy,FALSE,5
4,held,FALSE,4
4,hospital,TRUE,8
4,idea,FALSE,4
4,instead,TRUE,7
4,known,FALSE,5
4,laugh,FALSE,5
4,middle,FALSE,6
4,minute,FALSE,6
4,mountain,FALSE,8
4,ninth,FALSE,5
4,ocean,FALSE,5
4,office,FALSE,6
4,parent,FALSE,6
4,peanut,FALSE,6
4,pencil,FALSE,6
4,picnic,FALSE,6
4,police,FALSE,6
4,pretty,TRUE,6
4,prize,FALSE,5
4,quite,TRUE,5
4,radio,FALSE,5
4,raise,FALSE,5
4,really,TRUE,6
4,reason,FALSE,6
4,remember,TRUE,8
4,return,FALSE,6
4,Saturday,TRUE,8
4,scare,FALSE,5
4,second,FALSE,6
4,since,FALSE,5
4,slowly,FALSE,6
4,stories,FALSE,7
4,student,FALSE,7
4,sudden,FALSE,6
4,suit,FALSE,4
4,sure,TRUE,4
4,swimming,TRUE,8
4,though,FALSE,6
4,threw,TRUE,5
4,tired,FALSE,5
4,together,TRUE,8
4,tomorrow,TRUE,8
4,toward,FALSE,6
4,tried,TRUE,5
4,trouble,FALSE,7
4,truly,TRUE,5
4,turtle,FALSE,6
4,until,TRUE,5
4,village,FALSE,7
4,visit,FALSE,5
4,wear,FALSE,4
4,we'll,FALSE,5
4,whole,TRUE,5
4,whose,FALSE,5
4,women,FALSE,5
4,wouldn't,TRUE,8
4,writing,TRUE,7
4,written,FALSE,7
4,wrote,FALSE,5
4,yell,FALSE,4
4,young,FALSE,5
5,although,FALSE,8
5,America,FALSE,7
5,among,FALSE,5
5,arrive,FALSE,6
5,attention,FALSE,9
5,beautiful,TRUE,9
5,countries,FALSE,9
5,course,TRUE,6
5,cousin,TRUE,6
5,decide,FALSE,6
5,different,TRUE,9
5,evening,FALSE,7
5,favorite,FALSE,8
5,finally,TRUE,7
5,future,FALSE,6
5,happiest,FALSE,8
5,happiness,FALSE,9
5,important,FALSE,9
5,interest,FALSE,8
5,piece,FALSE,5
5,planet,FALSE,6
5,present,FALSE,7
5,president,FALSE,9
5,principal,TRUE,9
5,probably,TRUE,8
5,problem,FALSE,7
5,receive,TRUE,7
5,sentence,FALSE,8
5,several,FALSE,7
5,special,FALSE,7
5,suddenly,FALSE,8
5,suppose,TRUE,7
5,surely,TRUE,6
5,surprise,TRUE,8
5,they're,TRUE,7
5,through,FALSE,7
5,usually,FALSE,7
